"filename", "language", "C++", "CMake", "XML", "JSON", "Perl", "C", "Markdown", "LaTeX", "HTML", "Properties", "PostCSS", "Ruby", "Shell Script", "YAML", "Python", "CMake Cache", "Batch", "GLSL", "Objective-C++", "Objective-C", "Makefile", "Diff", "JavaScript", "comment", "blank", "total"
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML-MinSizeRel-66d770ddf3796f3d09ea.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML-RelWithDebInfo-66d770ddf3796f3d09ea.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML-Release-66d770ddf3796f3d09ea.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Audio-Debug-d27487b9853c1af75b25.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Audio-MinSizeRel-754b116c08639d6c3526.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Audio-RelWithDebInfo-44467dec776b2b989da6.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Audio-Release-4e80cd7a7bd3f01d20c6.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Graphics-Debug-78f042dbe5b142d4bb71.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Graphics-MinSizeRel-42f1ca6f80ec4347f850.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Graphics-RelWithDebInfo-5a601b9a1f64d935187b.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Graphics-Release-da7de2ee403a2ab45b6e.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Main-Debug-bf343748c8f5f6a39f12.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Main-MinSizeRel-3f25f53b78a73ab09850.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Main-RelWithDebInfo-7d4b7c4ff2a5a8be0bec.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Main-Release-783690d4a3d53dd42369.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Network-Debug-3ca5bbe3373f102d1c61.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Network-MinSizeRel-7b866e0e082a19c671be.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Network-RelWithDebInfo-361e9860293d278ba196.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Network-Release-718cf5e62654307338f5.json", "JSON", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -59
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.System-Debug-7b3ce7f12913350b9ba6.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.System-MinSizeRel-bd1089298d4fe62b581c.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.System-RelWithDebInfo-c6fc50536c140316d44e.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.System-Release-ead376b247f38c64716e.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Window-Debug-0576b53748de2beff501.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Window-MinSizeRel-49e60a38dea367e60ed1.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
